NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_FACIAL_NERVE_STRUCTURAL_ORGANIZATION	8		Rejected!	
GOBP_CENTRAL_NERVOUS_SYSTEM_MATURATION	7		Rejected!	
GOBP_OPTIC_NERVE_MORPHOGENESIS	6		Rejected!	
GOBP_VESTIBULOCOCHLEAR_NERVE_MORPHOGENESIS	7		Rejected!	
GOBP_VESTIBULOCOCHLEAR_NERVE_FORMATION	5		Rejected!	
GOBP_LATERAL_VENTRICLE_DEVELOPMENT	12		Rejected!	
GOBP_NERVE_DEVELOPMENT	88	85		
GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_DEVELOPMENT	28	26		
GOBP_CEREBELLAR_GRANULAR_LAYER_DEVELOPMENT	13		Rejected!	
GOBP_CEREBELLAR_GRANULAR_LAYER_MORPHOGENESIS	9		Rejected!	
GOBP_CEREBELLAR_GRANULAR_LAYER_FORMATION	7		Rejected!	
GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_MORPHOGENESIS	19	17		
GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_FORMATION	15		Rejected!	
GOBP_CEREBELLAR_CORTEX_DEVELOPMENT	52	50		
GOBP_CEREBELLAR_CORTEX_MORPHOGENESIS	36	34		
GOBP_CEREBELLAR_CORTEX_FORMATION	26	24		
GOBP_DEVELOPMENTAL_MATURATION	318	296		
GOBP_STRIATUM_DEVELOPMENT	21	21		
GOBP_LIMBIC_SYSTEM_DEVELOPMENT	115	104		
GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT	44	42		
GOBP_AMYGDALA_DEVELOPMENT	5		Rejected!	
GOBP_HIPPOCAMPUS_DEVELOPMENT	86	78		
GOBP_GLIAL_CELL_FATE_SPECIFICATION	5		Rejected!	
GOBP_GLIAL_CELL_FATE_COMMITMENT	11		Rejected!	
GOBP_GLIAL_CELL_DEVELOPMENT	119	112		
GOBP_BRANCHIOMOTOR_NEURON_AXON_GUIDANCE	5		Rejected!	
GOBP_THALAMUS_DEVELOPMENT	12		Rejected!	
GOBP_CEREBRAL_CORTEX_CELL_MIGRATION	48	46		
GOBP_CEREBRAL_CORTEX_REGIONALIZATION	7		Rejected!	
GOBP_FOREBRAIN_DORSAL_VENTRAL_PATTERN_FORMATION	7		Rejected!	
GOBP_CEREBRAL_CORTEX_RADIALLY_ORIENTED_CELL_MIGRATION	36	34		
GOBP_CEREBRAL_CORTEX_TANGENTIAL_MIGRATION	6		Rejected!	
GOBP_CELL_MOTILITY_INVOLVED_IN_CEREBRAL_CORTEX_RADIAL_GLIA_GUIDED_MIGRATION	8		Rejected!	
GOBP_MODULATION_OF_MICROTUBULE_CYTOSKELETON_INVOLVED_IN_CEREBRAL_CORTEX_RADIAL_GLIA_GUIDED_MIGRATION	5		Rejected!	
GOBP_LAYER_FORMATION_IN_CEREBRAL_CORTEX	14		Rejected!	
GOBP_SUBSTRATE_INDEPENDENT_TELENCEPHALIC_TANGENTIAL_MIGRATION	11		Rejected!	
GOBP_INTERNEURON_MIGRATION_FROM_THE_SUBPALLIUM_TO_THE_CORTEX	8		Rejected!	
GOBP_CELL_PROLIFERATION_IN_FOREBRAIN	23	19		
GOBP_HYPOTHALAMUS_DEVELOPMENT	26	24		
GOBP_HYPOTHALAMUS_CELL_MIGRATION	7		Rejected!	
GOBP_PYRAMIDAL_NEURON_DIFFERENTIATION	14		Rejected!	
GOBP_PYRAMIDAL_NEURON_DEVELOPMENT	11		Rejected!	
GOBP_FOREBRAIN_RADIAL_GLIAL_CELL_DIFFERENTIATION	7		Rejected!	
GOBP_FOREBRAIN_VENTRICULAR_ZONE_PROGENITOR_CELL_DIVISION	5		Rejected!	
GOBP_FOREBRAIN_REGIONALIZATION	24	20		
GOBP_FOREBRAIN_GENERATION_OF_NEURONS	52	48		
GOBP_FOREBRAIN_NEUROBLAST_DIVISION	5		Rejected!	
GOBP_FOREBRAIN_NEURON_FATE_COMMITMENT	7		Rejected!	
GOBP_FOREBRAIN_NEURON_DIFFERENTIATION	43	40		
GOBP_FOREBRAIN_NEURON_DEVELOPMENT	24	22		
GOBP_FOREBRAIN_CELL_MIGRATION	66	63		
GOBP_HYPOTHALAMUS_GONADOTROPHIN_RELEASING_HORMONE_NEURON_DIFFERENTIATION	8		Rejected!	
GOBP_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION	13		Rejected!	
GOBP_OLFACTORY_BULB_INTERNEURON_DEVELOPMENT	8		Rejected!	
GOBP_CEREBRAL_CORTEX_GABAERGIC_INTERNEURON_DIFFERENTIATION	11		Rejected!	
GOBP_CEREBRAL_CORTEX_GABAERGIC_INTERNEURON_DEVELOPMENT	7		Rejected!	
GOBP_CEREBRAL_CORTEX_NEURON_DIFFERENTIATION	27	25		
GOBP_ROSTROCAUDAL_NEURAL_TUBE_PATTERNING	11		Rejected!	
GOBP_DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING	23	20		
GOBP_SMOOTHENED_SIGNALING_PATHWAY_INVOLVED_IN_VENTRAL_SPINAL_CORD_PATTERNING	7		Rejected!	
GOBP_NEURAL_TUBE_DEVELOPMENT	163	155		
GOBP_HINDBRAIN_RADIAL_GLIA_GUIDED_CELL_MIGRATION	8		Rejected!	
GOBP_HINDBRAIN_TANGENTIAL_CELL_MIGRATION	5		Rejected!	
GOBP_REGULATION_OF_CEREBELLAR_GRANULE_CELL_PRECURSOR_PROLIFERATION	11		Rejected!	
GOBP_CEREBELLAR_PURKINJE_CELL_GRANULE_CELL_PRECURSOR_CELL_SIGNALING_INVOLVED_IN_REGULATION_OF_GRANULE_CELL_PRECURSOR_CELL_PROLIFERATION	5		Rejected!	
GOBP_POSITIVE_REGULATION_OF_CEREBELLAR_GRANULE_CELL_PRECURSOR_PROLIFERATION	8		Rejected!	
GOBP_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS	29	28		
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	177	161		
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT	86	80		
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_AXONOGENESIS	38	36		
GOBP_CORTICOSPINAL_TRACT_MORPHOGENESIS	7		Rejected!	
GOBP_ANTERIOR_COMMISSURE_MORPHOGENESIS	7		Rejected!	
GOBP_TELENCEPHALON_REGIONALIZATION	13		Rejected!	
GOBP_HYPOTHALAMUS_CELL_DIFFERENTIATION	13		Rejected!	
GOBP_PITUITARY_GLAND_DEVELOPMENT	42	36		
GOBP_ADENOHYPOPHYSIS_DEVELOPMENT	16		Rejected!	
GOBP_CEREBRAL_CORTEX_DEVELOPMENT	126	118		
GOBP_OLFACTORY_LOBE_DEVELOPMENT	37	36		
GOBP_NEURAL_PLATE_ANTERIOR_POSTERIOR_REGIONALIZATION	5		Rejected!	
GOBP_NEUROGENESIS	1667		Rejected!	
GOBP_TANGENTIAL_MIGRATION_FROM_THE_SUBVENTRICULAR_ZONE_TO_THE_OLFACTORY_BULB	8		Rejected!	
GOBP_TELENCEPHALON_GLIAL_CELL_MIGRATION	27	26		
GOBP_METENCEPHALON_DEVELOPMENT	115	106		
GOBP_CORPUS_CALLOSUM_DEVELOPMENT	25	24		
GOBP_REGULATION_OF_RHODOPSIN_MEDIATED_SIGNALING_PATHWAY	10		Rejected!	
GOBP_CELL_CYCLE_PROCESS	1303		Rejected!	
GOBP_MOLTING_CYCLE_PROCESS	94	91		
GOBP_MEMBRANE_DOCKING	90	88		
GOBP_REGULATION_OF_CELL_CELL_ADHESION	493	481		
GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	205	200		
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	321	315		
GOBP_CELLULAR_COMPONENT_DISASSEMBLY	493	485		
GOBP_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM	438	413		
GOBP_PROTEIN_MATURATION_BY_PROTEIN_FOLDING	8		Rejected!	
GOBP_DIGESTIVE_SYSTEM_PROCESS	107	101		
GOBP_OVULATION_CYCLE_PROCESS	52	51		
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	935		Rejected!	
GOBP_REGULATION_OF_CELL_MORPHOGENESIS	245	237		
GOBP_MAMMALIAN_OOGENESIS_STAGE	11		Rejected!	
GOBP_GLAND_MORPHOGENESIS	124	119		
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	473	461		
GOBP_MEMBRANE_TO_MEMBRANE_DOCKING	5		Rejected!	
GOBP_PROTEIN_TO_MEMBRANE_DOCKING	5		Rejected!	
GOBP_DNA_STRAND_ELONGATION	37	37		
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	64	64		
GOBP_ELECTRON_TRANSPORT_CHAIN	177	158		
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	124	107		
GOBP_SIGNAL_TRANSDUCTION_INVOLVED_IN_REGULATION_OF_GENE_EXPRESSION	22	20		
GOBP_CD40_SIGNALING_PATHWAY	16	15		
GOBP_NEURONAL_SIGNAL_TRANSDUCTION	7		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_SIGNALING	1431		Rejected!	
GOBP_ADAPTATION_OF_SIGNALING_PATHWAY	25	23		
GOBP_SIGNAL_RELEASE	485	465		
GOBP_INTRACELLULAR_MONOATOMIC_ANION_HOMEOSTASIS	11		Rejected!	
GOBP_INTRACELLULAR_POTASSIUM_ION_HOMEOSTASIS	15	15		
GOBP_ESTABLISHMENT_OF_CELL_POLARITY	157	151		
GOBP_MAINTENANCE_OF_CELL_POLARITY	18	18		
GOBP_ACTIN_FILAMENT_BASED_PROCESS	806		Rejected!	
GOBP_CELL_PROJECTION_ORGANIZATION	1576		Rejected!	
GOBP_CELL_PROJECTION_ASSEMBLY	609		Rejected!	
GOBP_LAMELLIPODIUM_ASSEMBLY	73	73		
GOBP_MICROVILLUS_ASSEMBLY	22	22		
GOBP_ACTIN_FILAMENT_POLYMERIZATION	161	157		
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	58	56		
GOBP_PARALLEL_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	7		Rejected!	
GOBP_ACTIN_MODIFICATION	5		Rejected!	
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	131	119		
GOBP_INSULIN_PROCESSING	9		Rejected!	
GOBP_INSULIN_SECRETION	197	190		
GOBP_PROTEIN_REPAIR	7		Rejected!	
GOBP_HEMOPOIESIS	933		Rejected!	
GOBP_MYELOID_CELL_DIFFERENTIATION	423	412		
GOBP_REGULATION_OF_ENDOCYTOSIS	217	208		
GOBP_NATURAL_KILLER_CELL_ACTIVATION	101	98		
GOBP_WATER_HOMEOSTASIS	37	34		
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY	339	317		
GOBP_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	110	106		
GOBP_SPHINGOLIPID_CATABOLIC_PROCESS	32	30		
GOBP_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX	20	20		
GOBP_REGULATION_OF_CELL_ADHESION	805		Rejected!	
GOBP_PANCREATIC_JUICE_SECRETION	13		Rejected!	
GOBP_REGULATION_OF_PROTEOLYSIS	726		Rejected!	
GOBP_PROTEIN_CATABOLIC_PROCESS	1018		Rejected!	
GOBP_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	64	60		
GOBP_PROTEOGLYCAN_CATABOLIC_PROCESS	11		Rejected!	
GOBP_PLATELET_ACTIVATION	134	129		
GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION_INITIATION	15	15		
GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	146	138		
GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	175	163		
GOBP_B_CELL_DIFFERENTIATION	153	150		
GOBP_NITRIC_OXIDE_TRANSPORT	5		Rejected!	
GOBP_COLLAGEN_FIBRIL_ORGANIZATION	64	58		
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_CATABOLIC_PROCESS	9		Rejected!	
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	15		Rejected!	
GOBP_HEPARIN_METABOLIC_PROCESS	16	16		
GOBP_DERMATAN_SULFATE_METABOLIC_PROCESS	9		Rejected!	
GOBP_CHONDROITIN_SULFATE_BIOSYNTHETIC_PROCESS	18	18		
GOBP_CHONDROITIN_SULFATE_CATABOLIC_PROCESS	5		Rejected!	
GOBP_DERMATAN_SULFATE_BIOSYNTHETIC_PROCESS	5		Rejected!	
GOBP_HEPARIN_BIOSYNTHETIC_PROCESS	11		Rejected!	
GOBP_HYALURONAN_METABOLIC_PROCESS	35	34		
GOBP_HYALURONAN_BIOSYNTHETIC_PROCESS	14		Rejected!	
GOBP_HYALURONAN_CATABOLIC_PROCESS	16	16		
GOBP_KERATINOCYTE_DIFFERENTIATION	174	157		
GOBP_T_CELL_DIFFERENTIATION	300	295		
GOBP_MEGAKARYOCYTE_DIFFERENTIATION	66	64		
GOBP_EOSINOPHIL_DIFFERENTIATION	5		Rejected!	
GOBP_NEUTROPHIL_DIFFERENTIATION	10		Rejected!	
GOBP_MONOCYTE_DIFFERENTIATION	36	34		
GOBP_MACROPHAGE_DIFFERENTIATION	58	53		
GOBP_MALE_SEX_DETERMINATION	14		Rejected!	
GOBP_SKELETAL_MUSCLE_THIN_FILAMENT_ASSEMBLY	7		Rejected!	
GOBP_AUTOPHAGY_OF_PEROXISOME	10		Rejected!	
GOBP_GROWTH_HORMONE_SECRETION	14		Rejected!	
GOBP_LIPID_MODIFICATION	198	192		
GOBP_LIPID_GLYCOSYLATION	12		Rejected!	
GOBP_CHROMOSOME_CONDENSATION	44	43		
GOBP_APOPTOTIC_CHROMOSOME_CONDENSATION	5		Rejected!	
GOBP_MAINTENANCE_OF_GASTROINTESTINAL_EPITHELIUM	22	19		
GOBP_REGULATION_OF_OSSIFICATION	118	111		
GOBP_NEGATIVE_REGULATION_OF_OSSIFICATION	38	36		
GOBP_BONE_MINERALIZATION	120	112		
GOBP_INTESTINAL_CHOLESTEROL_ABSORPTION	18	18		
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH	164	156		
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH	191	183		
GOBP_POLY_N_ACETYLLACTOSAMINE_METABOLIC_PROCESS	7		Rejected!	
GOBP_OSTEOCLAST_DIFFERENTIATION	102	102		
GOBP_MELANOCYTE_DIFFERENTIATION	25	25		
GOBP_TRANSEPITHELIAL_CHLORIDE_TRANSPORT	9		Rejected!	
GOBP_STABILIZATION_OF_MEMBRANE_POTENTIAL	17		Rejected!	
GOBP_ADRENAL_GLAND_DEVELOPMENT	28	24		
GOBP_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	72	72		
GOBP_FRUCTOSE_1_6_BISPHOSPHATE_METABOLIC_PROCESS	10		Rejected!	
GOBP_MEMBRANE_DISASSEMBLY	11		Rejected!	
GOBP_SIRNA_PROCESSING	9		Rejected!	
GOBP_SLEEP	29	29		
GOBP_PERISTALSIS	12		Rejected!	
GOBP_UBIQUITIN_DEPENDENT_ERAD_PATHWAY	82	80		
GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION	23	19		
GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY	9		Rejected!	
GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY	6		Rejected!	
GOBP_NUCLEAR_MIGRATION_ALONG_MICROTUBULE	5		Rejected!	
GOBP_TRNA_METHYLATION	42	42		
GOBP_MATURATION_OF_SSU_RRNA	54	52		
GOBP_FATTY_ACID_ELONGATION	13		Rejected!	
GOBP_REGULATION_OF_BONE_MINERALIZATION	79	73		
GOBP_POSITIVE_REGULATION_OF_BONE_MINERALIZATION	43	40		
GOBP_NEGATIVE_REGULATION_OF_BONE_MINERALIZATION	20	19		
GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY	118	105		
GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	100	96		
GOBP_POSITIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	41	36		
GOBP_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	70	63		
GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION	46	45		
GOBP_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	54	53		
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	47	44		
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY	302	288		
GOBP_ADULT_BEHAVIOR	143	138		
GOBP_MALE_GENITALIA_DEVELOPMENT	24	21		
GOBP_FEMALE_GENITALIA_DEVELOPMENT	19	17		
GOBP_COLLAGEN_CATABOLIC_PROCESS	45	44		
GOBP_NUCLEAR_BODY_ORGANIZATION	16	16		
GOBP_PML_BODY_ORGANIZATION	7		Rejected!	
GOBP_UBIQUITIN_DEPENDENT_SMAD_PROTEIN_CATABOLIC_PROCESS	6		Rejected!	
GOBP_NEUTROPHIL_CHEMOTAXIS	106	106		
GOBP_LEUKOCYTE_CHEMOTAXIS	241	239		
GOBP_POLYKETIDE_METABOLIC_PROCESS	10		Rejected!	
GOBP_INTRACELLULAR_PHOSPHATE_ION_HOMEOSTASIS	10		Rejected!	
GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS	10		Rejected!	
GOBP_REGULATION_OF_VITAMIN_METABOLIC_PROCESS	12		Rejected!	
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	213	207		
GOBP_OVULATION	21	21		
GOBP_SEQUESTERING_OF_TRIGLYCERIDE	18	18		
GOBP_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	38	33		
GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	7		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	20	16		
GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH	151	147		
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION	44	42		
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION	13		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION	64	61		
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION	49	49		
GOBP_PROSTATE_GLAND_DEVELOPMENT	48	45		
GOBP_GRANULOCYTE_DIFFERENTIATION	39	37		
GOBP_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	16		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	9		Rejected!	
GOBP_EPITHELIAL_CELL_DIFFERENTIATION	731		Rejected!	
GOBP_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	167	155		
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	54	49		
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	69	63		
GOBP_POLARIZED_EPITHELIAL_CELL_DIFFERENTIATION	26	23		
GOBP_CORTICAL_CYTOSKELETON_ORGANIZATION	48	48		
GOBP_CORTICAL_ACTIN_CYTOSKELETON_ORGANIZATION	40	40		
GOBP_THYROID_GLAND_DEVELOPMENT	29	28		
GOBP_MAMMARY_GLAND_DEVELOPMENT	136	128		
GOBP_REGULATION_OF_MYELOID_DENDRITIC_CELL_ACTIVATION	5		Rejected!	
GOBP_REGULATION_OF_B_CELL_PROLIFERATION	65	64		
GOBP_NEGATIVE_REGULATION_OF_B_CELL_PROLIFERATION	17	17		
GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION	45	44		
GOBP_FOREBRAIN_DEVELOPMENT	398	371		
GOBP_MIDBRAIN_DEVELOPMENT	91	86		
GOBP_HINDBRAIN_DEVELOPMENT	157	147		
GOBP_NOTOCHORD_DEVELOPMENT	19	17		
GOBP_PARANODAL_JUNCTION_ASSEMBLY	6		Rejected!	
GOBP_OTIC_VESICLE_FORMATION	8		Rejected!	
GOBP_MIDBRAIN_HINDBRAIN_BOUNDARY_DEVELOPMENT	7		Rejected!	
GOBP_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	33	32		
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	12		Rejected!	
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	17	16		
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	7		Rejected!	
GOBP_ASTRAL_MICROTUBULE_ORGANIZATION	10		Rejected!	
GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	75	73		
GOBP_RESPONSE_TO_CAFFEINE	14		Rejected!	
GOBP_PANCREAS_DEVELOPMENT	81	75		
GOBP_EXOCRINE_PANCREAS_DEVELOPMENT	7		Rejected!	
GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT	47	43		
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION	153	152		
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	203	193		
GOBP_MYOSIN_FILAMENT_ORGANIZATION	6		Rejected!	
GOBP_RNA_MEDIATED_GENE_SILENCING	686		Rejected!	
GOBP_RNA_MEDIATED_HETEROCHROMATIN_FORMATION	6		Rejected!	
GOBP_PRIMARY_MIRNA_PROCESSING	17	17		
GOBP_PRE_MIRNA_PROCESSING	16	16		
GOBP_CHROMATIN_REMODELING_AT_CENTROMERE	8		Rejected!	
GOBP_REGULATION_OF_HISTONE_MODIFICATION	144	142		
GOBP_NEGATIVE_REGULATION_OF_HISTONE_MODIFICATION	32	32		
GOBP_POSITIVE_REGULATION_OF_HISTONE_MODIFICATION	88	86		
GOBP_REGULATION_OF_HISTONE_METHYLATION	57	55		
GOBP_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	12		Rejected!	
GOBP_POSITIVE_REGULATION_OF_HISTONE_METHYLATION	41	39		
GOBP_REGULATION_OF_HISTONE_DEACETYLATION	40	40		
GOBP_NEGATIVE_REGULATION_OF_HISTONE_DEACETYLATION	5		Rejected!	
GOBP_POSITIVE_REGULATION_OF_HISTONE_DEACETYLATION	23	23		
GOBP_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT	37	33		
GOBP_POST_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT	8		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_INDEPENDENT_DECAY	7		Rejected!	
GOBP_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	247	242		
GOBP_REGENERATION	190	186		
GOBP_ANIMAL_ORGAN_REGENERATION	66	66		
GOBP_NEURON_PROJECTION_REGENERATION	59	57		
GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	129	128		
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	88	87		
GOBP_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	39	39		
GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	36	36		
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION	54	53		
GOBP_REGULATION_OF_MICROTUBULE_DEPOLYMERIZATION	30	30		
GOBP_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION	14		Rejected!	
GOBP_RRNA_PSEUDOURIDINE_SYNTHESIS	8		Rejected!	
GOBP_TRNA_PSEUDOURIDINE_SYNTHESIS	6		Rejected!	
GOBP_CYTOPLASMIC_MICROTUBULE_ORGANIZATION	59	59		
GOBP_RNA_3_END_PROCESSING	103	103		
GOBP_MRNA_3_END_PROCESSING	57	57		
GOBP_RRNA_3_END_PROCESSING	10		Rejected!	
GOBP_DEVELOPMENTAL_INDUCTION	35	31		
GOBP_REGULATION_OF_AXON_DIAMETER	5		Rejected!	
GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	24	24		
GOBP_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	46	43		
GOBP_RRNA_METHYLATION	27	25		
GOBP_PEPTIDE_MODIFICATION	8		Rejected!	
GOBP_POST_TRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION	9		Rejected!	
GOBP_BIOMINERAL_TISSUE_DEVELOPMENT	172	161		
GOBP_PSEUDOPODIUM_ORGANIZATION	15	15		
GOBP_POSITIVE_REGULATION_OF_PSEUDOPODIUM_ASSEMBLY	11		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CYCLASE_ACTIVITY	21	18		
GOBP_POSITIVE_REGULATION_OF_CYCLASE_ACTIVITY	40	36		
GOBP_REGULATION_OF_GUANYLATE_CYCLASE_ACTIVITY	9		Rejected!	
GOBP_POSITIVE_REGULATION_OF_GUANYLATE_CYCLASE_ACTIVITY	6		Rejected!	
GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE	21	20		
GOBP_MEMBRANE_PROTEIN_INTRACELLULAR_DOMAIN_PROTEOLYSIS	14		Rejected!	
GOBP_LYMPHOCYTE_COSTIMULATION	47	47		
GOBP_REPLICATION_FORK_PROCESSING	46	46		
GOBP_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	830		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	252	248		
GOBP_POSITIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	455	439		
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	149	142		
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	196	194		
GOBP_REGULATION_OF_VESICLE_FUSION	24	24		
GOBP_POSITIVE_REGULATION_OF_VESICLE_FUSION	11		Rejected!	
GOBP_REGULATION_OF_CELL_KILLING	113	110		
GOBP_NEGATIVE_REGULATION_OF_CELL_KILLING	29	28		
GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	74	72		
GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	684		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	194	187		
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	353	340		
GOBP_REGULATION_OF_DEFENSE_RESPONSE	773		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE	284	268		
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE	445	433		
GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION	30	29		
GOBP_NEGATIVE_REGULATION_OF_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS	5		Rejected!	
